	Subject	Label	tBodyAcc-std()-X	tBodyAcc-std()-Y	tBodyAcc-std()-Z	tGravityAcc-std()-X	tGravityAcc-std()-Y	tGravityAcc-std()-Z	tBodyAccJerk-std()-X	tBodyAccJerk-std()-Y	tBodyAccJerk-std()-Z	tBodyGyro-std()-X	tBodyGyro-std()-Y	tBodyGyro-std()-Z	tBodyGyroJerk-std()-X	tBodyGyroJerk-std()-Y	tBodyGyroJerk-std()-Z	tBodyAccMag-std()	tGravityAccMag-std()	tBodyAccJerkMag-std()	tBodyGyroMag-std()	tBodyGyroJerkMag-std()	fBodyAcc-std()-X	fBodyAcc-std()-Y	fBodyAcc-std()-Z	fBodyAccJerk-std()-X	fBodyAccJerk-std()-Y	fBodyAccJerk-std()-Z	fBodyGyro-std()-X	fBodyGyro-std()-Y	fBodyGyro-std()-Z	fBodyAccMag-std()	fBodyBodyAccJerkMag-std()	fBodyBodyGyroMag-std()	fBodyBodyGyroJerkMag-std()	tBodyAcc-mean()-X	tBodyAcc-mean()-Y	tBodyAcc-mean()-Z	tGravityAcc-mean()-X	tGravityAcc-mean()-Y	tGravityAcc-mean()-Z	tBodyAccJerk-mean()-X	tBodyAccJerk-mean()-Y	tBodyAccJerk-mean()-Z	tBodyGyro-mean()-X	tBodyGyro-mean()-Y	tBodyGyro-mean()-Z	tBodyGyroJerk-mean()-X	tBodyGyroJerk-mean()-Y	tBodyGyroJerk-mean()-Z	tBodyAccMag-mean()	tGravityAccMag-mean()	tBodyAccJerkMag-mean()	tBodyGyroMag-mean()	tBodyGyroJerkMag-mean()	fBodyAcc-mean()-X	fBodyAcc-mean()-Y	fBodyAcc-mean()-Z	fBodyAccJerk-mean()-X	fBodyAccJerk-mean()-Y	fBodyAccJerk-mean()-Z	fBodyGyro-mean()-X	fBodyGyro-mean()-Y	fBodyGyro-mean()-Z	fBodyAccMag-mean()	fBodyBodyAccJerkMag-mean()	fBodyBodyGyroMag-mean()	fBodyBodyGyroJerkMag-mean()
11	11	LAYING	-0.73854225	-0.651711482	-0.697529252	-0.971885929	-0.963411851	-0.947123193	-0.776378873	-0.729884526	-0.840786398	-0.815971572	-0.799084365	-0.707693959	-0.828926194	-0.866075812	-0.830740782	-0.732962614	-0.732962614	-0.759399071	-0.764390808	-0.859423029	-0.732019656	-0.658871742	-0.691662648	-0.786781632	-0.736526511	-0.853906536	-0.82547398	-0.794365939	-0.726268964	-0.773840043	-0.768926641	-0.780002635	-0.865478386	0.271689188	-0.019413033	-0.107240463	0.586434989	-0.131164219	-0.060512301	0.081388752	0.011087706	-0.00778946	-0.037268102	-0.05977599	0.111875973	-0.077607276	-0.046659805	-0.074654774	-0.681408896	-0.681408896	-0.773186601	-0.710632515	-0.85101789	-0.75856121	-0.682495803	-0.75506339	-0.785962868	-0.741178503	-0.826270268	-0.791865429	-0.811754427	-0.739200956	-0.73409159	-0.752762494	-0.804796949	-0.862717384
12	12	LAYING	-0.692333506	-0.529125732	-0.747824566	-0.950818423	-0.954486928	-0.939877676	-0.738180549	-0.653596492	-0.830437198	-0.77615758	-0.678952268	-0.638121371	-0.780788053	-0.784174027	-0.71322195	-0.665011392	-0.665011392	-0.716994687	-0.695805372	-0.788703088	-0.68281762	-0.536206262	-0.753073151	-0.734359721	-0.652900605	-0.836356136	-0.790816687	-0.663626785	-0.675686139	-0.711012643	-0.718599824	-0.734911505	-0.801373142	0.26050086	-0.015859161	-0.10297721	0.645185978	0.029775312	0.14119456	0.080947089	0.013258078	-0.021968536	-0.015435594	-0.087203598	0.096123643	-0.093963747	-0.046392447	-0.041541134	-0.634395061	-0.634395061	-0.727130932	-0.630936071	-0.768919429	-0.719431148	-0.577142364	-0.77519971	-0.765029294	-0.676108116	-0.823253407	-0.732735988	-0.711083734	-0.628436613	-0.677135852	-0.716693873	-0.716552359	-0.790768815
13	13	LAYING	-0.70805982	-0.557408133	-0.720281008	-0.979557183	-0.971023002	-0.970998629	-0.747471001	-0.637875032	-0.779985535	-0.777704469	-0.718042924	-0.69522109	-0.769923565	-0.780944845	-0.736278689	-0.680030843	-0.680030843	-0.688445914	-0.723106661	-0.774093317	-0.699868094	-0.57159863	-0.734226486	-0.751449026	-0.633280097	-0.783616868	-0.793961253	-0.715670602	-0.728590114	-0.736577764	-0.674627811	-0.765133377	-0.774894433	0.278745082	-0.017514187	-0.107142584	0.342987197	0.321195499	0.176190927	0.087491767	0.042860857	0.001944366	-0.052428256	-0.058068781	0.077956408	-0.091633942	-0.064470566	-0.052928544	-0.652767876	-0.652767876	-0.716884576	-0.674236721	-0.774354897	-0.732205801	-0.584909699	-0.735146881	-0.765634348	-0.664729156	-0.775149691	-0.729688965	-0.726664279	-0.681473064	-0.670341936	-0.701426536	-0.734820241	-0.785936132
14	14	LAYING	-0.418738534	-0.414461813	-0.61383435	-0.974446081	-0.967693518	-0.952060424	-0.487369076	-0.46460373	-0.699802955	-0.65481414	-0.637820394	-0.608326204	-0.601512254	-0.723679592	-0.656694499	-0.441127449	-0.441127449	-0.503487747	-0.604148061	-0.710554943	-0.410159944	-0.461482602	-0.642921713	-0.520863585	-0.485164832	-0.73035018	-0.690275824	-0.647129493	-0.660097767	-0.540004727	-0.528262466	-0.663313919	-0.738476811	0.279152767	-0.019754106	-0.115096453	0.428085978	0.086838204	0.185878978	0.051945119	0.013171373	-0.012044442	-0.097710191	-0.032486556	0.126054464	-0.082581361	-0.045987151	-0.085440895	-0.413113679	-0.413113679	-0.513600589	-0.526290424	-0.678258703	-0.44607342	-0.397815037	-0.621925632	-0.500491504	-0.480689687	-0.668524698	-0.546945167	-0.632304742	-0.567214353	-0.421364448	-0.487732907	-0.620951962	-0.705571074
15	15	LAYING	-0.599414995	-0.547247373	-0.541014543	-0.974001062	-0.943881023	-0.930620801	-0.635521048	-0.648465182	-0.781977782	-0.693714997	-0.589899193	-0.6414839	-0.740828235	-0.825781781	-0.766408506	-0.569822178	-0.569822178	-0.626561093	-0.599810421	-0.81850169	-0.59718057	-0.567100757	-0.52472565	-0.656952618	-0.657616784	-0.804834861	-0.708287072	-0.546498954	-0.673267026	-0.634545424	-0.639594452	-0.615811157	-0.832758401	0.284801814	-0.019168237	-0.103655951	0.77796528	-0.066187383	0.053045408	0.085533297	-0.00978226	-0.017968149	-0.030870987	-0.08744604	0.081615892	-0.082300498	-0.038415156	-0.0574129	-0.539599903	-0.539599903	-0.671273963	-0.555889407	-0.790227202	-0.608037223	-0.56794929	-0.652519739	-0.647138262	-0.662412158	-0.758378588	-0.657602475	-0.692026584	-0.64786749	-0.575952497	-0.618773578	-0.687717737	-0.817643393
16	16	LAYING	-0.500720952	-0.43602626	-0.531847384	-0.97045888	-0.966089244	-0.945271163	-0.552788569	-0.535892404	-0.71716884	-0.638677732	-0.571988504	-0.523694449	-0.643740382	-0.744346049	-0.673476244	-0.501419538	-0.501419538	-0.559797583	-0.585362284	-0.732967	-0.493427804	-0.464735451	-0.537458596	-0.581368789	-0.544825508	-0.750535365	-0.6601487	-0.553247213	-0.561556674	-0.582518556	-0.584800217	-0.624041432	-0.751166029	0.277160908	-0.021245557	-0.109349166	0.608491591	-0.015625177	0.15643746	0.115763814	0.016015101	0.0015336	-0.115243067	-0.018878658	0.125324557	-0.078484017	-0.05442633	-0.067359195	-0.456788624	-0.456788624	-0.573654048	-0.470363725	-0.705916895	-0.521497991	-0.451502906	-0.594585571	-0.56464146	-0.557193852	-0.683309275	-0.578492527	-0.616324624	-0.547031737	-0.49707599	-0.543654852	-0.636266077	-0.734157266
17	17	LAYING	-0.559180172	-0.506254039	-0.51852285	-0.977045502	-0.960893676	-0.940346727	-0.604759638	-0.59761721	-0.736040304	-0.676739802	-0.519352623	-0.598075317	-0.725269173	-0.776350525	-0.733365646	-0.553989354	-0.553989354	-0.591532529	-0.579472493	-0.788292985	-0.557581304	-0.534579201	-0.516686074	-0.634142709	-0.617210987	-0.767795229	-0.687792142	-0.47432311	-0.631044816	-0.626807974	-0.603821173	-0.606078738	-0.802103423	0.266499076	-0.016321719	-0.100524138	0.776287323	-0.000176348	0.129292985	0.055794414	0.027270307	-0.016471536	0.001118805	-0.086070228	0.076239146	-0.095566518	-0.063799168	-0.064086819	-0.501811713	-0.501811713	-0.628512075	-0.504554168	-0.749890601	-0.565067899	-0.514624929	-0.599135839	-0.611242393	-0.606126006	-0.703835516	-0.653702968	-0.614133346	-0.612388816	-0.549195742	-0.584231522	-0.652685507	-0.78949653
18	18	LAYING	-0.767714287	-0.725576225	-0.753520564	-0.974264461	-0.959959822	-0.947921312	-0.822013833	-0.780907481	-0.817017674	-0.845987886	-0.833621291	-0.81230195	-0.832708003	-0.861415172	-0.851397058	-0.740321382	-0.740321382	-0.778852989	-0.804112345	-0.849970218	-0.755882036	-0.734310172	-0.764457348	-0.821606794	-0.778519659	-0.823512958	-0.860185092	-0.83732173	-0.833780586	-0.774481148	-0.761916719	-0.830007202	-0.855713876	0.2756353	-0.013110196	-0.098188356	0.742477515	0.051748218	0.068218307	0.066713541	-0.007579633	0.006627832	-0.005182359	-0.090859004	0.094867852	-0.119525533	-0.026142596	-0.04058752	-0.733082859	-0.733082859	-0.804768418	-0.77302765	-0.859450542	-0.803109349	-0.743532694	-0.771486829	-0.837906933	-0.796757087	-0.809119608	-0.803340942	-0.83098764	-0.802394518	-0.752964253	-0.794518762	-0.817984229	-0.853672491
19	19	LAYING	-0.658957063	-0.595135632	-0.603082092	-0.971079467	-0.957034626	-0.937299911	-0.699799967	-0.677377371	-0.805766296	-0.721543561	-0.617386265	-0.663682972	-0.773883598	-0.828318811	-0.788162863	-0.635415997	-0.635415997	-0.684537764	-0.656921839	-0.830591489	-0.656481951	-0.611903592	-0.594441575	-0.722982031	-0.684544545	-0.826737005	-0.731079627	-0.580699164	-0.691613882	-0.686548456	-0.683843524	-0.673057932	-0.83947245	0.268158822	-0.009238403	-0.096718669	0.547220671	0.120142236	0.226092866	0.08892546	-0.021756728	0.01255507	-8.79E-05	-0.080127088	0.083681953	-0.095337118	-0.040261081	-0.055120471	-0.599602969	-0.599602969	-0.717589501	-0.59000965	-0.804109504	-0.667274908	-0.615687274	-0.684725157	-0.704260076	-0.691103432	-0.783931571	-0.701935013	-0.695146372	-0.675885407	-0.648415939	-0.686361042	-0.727323317	-0.833380299
20	20	LAYING	-0.650504028	-0.552861836	-0.616263779	-0.97292649	-0.960437982	-0.95904821	-0.726380046	-0.662668706	-0.710011102	-0.753882848	-0.738770724	-0.698925711	-0.741771023	-0.767883757	-0.784204846	-0.629966779	-0.629966779	-0.67091485	-0.717962833	-0.767427532	-0.639264813	-0.569048432	-0.637821244	-0.740303401	-0.670016819	-0.72559486	-0.772843389	-0.748371958	-0.728717669	-0.690398033	-0.670426969	-0.762522472	-0.775498659	0.274264619	-0.01919011	-0.116249051	0.629478493	0.119901244	0.109535216	0.084148116	0.000498469	-0.003664345	-0.028393261	-0.082533409	0.076660192	-0.085735821	-0.052167022	-0.057657211	-0.594389301	-0.594389301	-0.690511833	-0.670651252	-0.769161421	-0.683249557	-0.577479686	-0.634058435	-0.7370258	-0.677435242	-0.692896197	-0.696659675	-0.728014189	-0.696496748	-0.625262783	-0.673051072	-0.726944873	-0.774024117
21	21	LAYING	-0.695185692	-0.620941065	-0.689443339	-0.980076656	-0.96708655	-0.951849246	-0.714654717	-0.689031397	-0.826155542	-0.78259176	-0.764839872	-0.678808544	-0.758687904	-0.856302418	-0.797235063	-0.704528872	-0.704528872	-0.730583236	-0.753644658	-0.837573808	-0.697689307	-0.63751604	-0.691713769	-0.734133429	-0.686785734	-0.84129403	-0.799461606	-0.754991554	-0.703731243	-0.753711087	-0.744556915	-0.775187615	-0.84614941	0.271993457	-0.019061413	-0.104507451	0.464265716	-0.024966994	-0.057523423	0.077633561	0.030353299	0.01814292	-0.033225115	-0.056093335	0.068631653	-0.098301614	-0.058307908	-0.05267805	-0.648540591	-0.648540591	-0.721244174	-0.695164366	-0.821195049	-0.689834774	-0.635055158	-0.731023314	-0.721141776	-0.71063284	-0.809817183	-0.731234676	-0.787284426	-0.695717605	-0.698980558	-0.721203609	-0.786052757	-0.839991722
22	22	LAYING	-0.677334311	-0.591451777	-0.575691161	-0.971417113	-0.961343189	-0.93697731	-0.741334198	-0.724424733	-0.827827848	-0.748834425	-0.603740359	-0.644920997	-0.812600759	-0.843273311	-0.79997379	-0.651667187	-0.651667187	-0.732864166	-0.645489366	-0.84549343	-0.669564222	-0.595906715	-0.553731593	-0.757025062	-0.735968522	-0.844256882	-0.757160955	-0.560655808	-0.670621219	-0.69421718	-0.738418827	-0.657500866	-0.856557144	0.287932973	-0.018670658	-0.116801966	0.519529889	0.116246999	0.191555396	0.059463482	0.017818927	-0.019587174	-0.036343321	-0.080060526	0.088679885	-0.108503007	-0.04435229	-0.02472974	-0.604405322	-0.604405322	-0.752508889	-0.594082842	-0.825249674	-0.700435103	-0.638677679	-0.694569096	-0.749015573	-0.731684352	-0.810172094	-0.731488357	-0.696489904	-0.671515478	-0.674848679	-0.729787419	-0.727038617	-0.84531592
23	23	LAYING	-0.519975716	-0.444008608	-0.457753533	-0.971015018	-0.947286317	-0.923584223	-0.598268575	-0.576410434	-0.732061051	-0.618794473	-0.475285531	-0.537104742	-0.729794931	-0.758326578	-0.716579257	-0.504764891	-0.504764891	-0.570638807	-0.496796525	-0.76629069	-0.510783235	-0.466826887	-0.444348328	-0.629776454	-0.592384914	-0.765300999	-0.626636276	-0.429689328	-0.576245881	-0.578055494	-0.579965587	-0.519922942	-0.7845674	0.278258253	-0.021025386	-0.103069675	0.77530603	0.030710581	0.16481777	0.098231254	0.022431256	0.009954973	-0.051445147	-0.068886156	0.07740327	-0.084999007	-0.034658245	-0.060364378	-0.446039261	-0.446039261	-0.623944197	-0.431410315	-0.743169817	-0.546771068	-0.47260392	-0.577535987	-0.603426272	-0.588914188	-0.698454241	-0.611107796	-0.574317515	-0.551129734	-0.512985961	-0.565819422	-0.601591891	-0.765136539
24	24	LAYING	-0.497518591	-0.362370438	-0.467186262	-0.9645417	-0.947154134	-0.9449831	-0.605873343	-0.548337507	-0.621274786	-0.654255533	-0.653590542	-0.551276923	-0.671235002	-0.698046097	-0.703972779	-0.452738942	-0.452738942	-0.538421845	-0.606342946	-0.688661594	-0.47953657	-0.377504993	-0.498344478	-0.621640738	-0.551570591	-0.651361794	-0.677818138	-0.669385214	-0.590333165	-0.538030004	-0.534080697	-0.659804833	-0.695911379	0.274859661	-0.018465284	-0.106613102	0.852017557	-0.090560479	-0.079178434	0.070421238	0.015377564	-0.018338495	0.01168785	-0.08760941	0.075550166	-0.105473041	-0.037695182	-0.045554512	-0.426823408	-0.426823408	-0.579750823	-0.508291015	-0.702938248	-0.549725087	-0.413964539	-0.489459765	-0.624808981	-0.573514005	-0.589824701	-0.584758853	-0.634061437	-0.563704891	-0.453611275	-0.545062298	-0.630706004	-0.700370854
25	25	LAYING	-0.399431146	-0.403510181	-0.482383139	-0.966295773	-0.945764554	-0.935814517	-0.477875112	-0.482645023	-0.708077557	-0.593274832	-0.55677296	-0.495409905	-0.627839705	-0.78588524	-0.653199038	-0.397832052	-0.397832052	-0.492868172	-0.532266303	-0.760537455	-0.39803237	-0.44554914	-0.489182463	-0.516289842	-0.497905139	-0.744520453	-0.614101073	-0.522277928	-0.545420519	-0.485703936	-0.523884501	-0.559469272	-0.780635212	0.273193179	-0.019524983	-0.109737145	0.863712976	-0.09924302	0.013748844	0.053434046	0.009287561	0.018139646	-0.021642695	-0.075217076	0.099280896	-0.11418513	-0.037787732	-0.039420436	-0.374348311	-0.374348311	-0.520747013	-0.433606643	-0.71605852	-0.404668906	-0.399588956	-0.552225081	-0.487046972	-0.50169328	-0.67139787	-0.539872514	-0.634526172	-0.490616902	-0.409606542	-0.472691002	-0.619252197	-0.758777617
